image_path,crowding,confidence
Teeth or Dental Image Dataset/Upper Front/UF 0001.jpg,0,0.85
Teeth or Dental Image Dataset/Upper Front/UF 0002.jpg,0,0.85
Teeth or Dental Image Dataset/Upper Front/UF 0003.jpg,1,0.85
Teeth or Dental Image Dataset/Upper Front/UF 0004.jpg,1,0.85
Teeth or Dental Image Dataset/Upper Front/UF 0005.jpg,0,0.85
Teeth or Dental Image Dataset/Upper Front/UF 0006.jpg,0,0.85
Teeth or Dental Image Dataset/Upper Front/UF 0007.jpg,0,0.85
Teeth or Dental Image Dataset/Upper Front/UF 0008.jpg,0,0.85
Teeth or Dental Image Dataset/Upper Front/UF 0009.jpg,0,0.85
Teeth or Dental Image Dataset/Upper Front/UF 0010.jpg,0,0.85
Teeth or Dental Image Dataset/Upper Front/UF 0011.jpg,0,0.85
Teeth or Dental Image Dataset/Upper Front/UF 0012.jpg,0,0.95
Teeth or Dental Image Dataset/Upper Front/UF 0013.jpg,0,0.85
Teeth or Dental Image Dataset/Upper Front/UF 0014.jpg,0,0.85
Teeth or Dental Image Dataset/Upper Front/UF 0015.jpg,0,0.85
Teeth or Dental Image Dataset/Upper Front/UF 0016.jpg,0,0.85
Teeth or Dental Image Dataset/Upper Front/UF 0017.jpg,0,0.85
Teeth or Dental Image Dataset/Upper Front/UF 0018.jpg,0,0.85
Teeth or Dental Image Dataset/Upper Front/UF 0019.jpg,1,0.85
Teeth or Dental Image Dataset/Upper Front/UF 0020.jpg,0,0.85
Teeth or Dental Image Dataset/Upper Front/UF 0021.jpg,1,0.85
Teeth or Dental Image Dataset/Upper Front/UF 0022.jpg,0,0.85
Teeth or Dental Image Dataset/Upper Front/UF 0023.jpg,0,0.85
Teeth or Dental Image Dataset/Upper Front/UF 0024.jpg,0,0.85
Teeth or Dental Image Dataset/Upper Front/UF 0025.jpg,0,0.85
Teeth or Dental Image Dataset/Upper Front/UF 0026.jpg,0,0.85
Teeth or Dental Image Dataset/Upper Front/UF 0027.jpg,0,0.85
Teeth or Dental Image Dataset/Upper Front/UF 0028.jpg,0,0.85
Teeth or Dental Image Dataset/Upper Front/UF 0029.jpg,0,0.95
Teeth or Dental Image Dataset/Upper Front/UF 0030.jpg,1,0.85
Teeth or Dental Image Dataset/Upper Front/UF 0031.jpg,0,0.85
Teeth or Dental Image Dataset/Upper Front/UF 0032.jpg,0,0.85
Teeth or Dental Image Dataset/Upper Front/UF 0033.jpg,1,0.85
Teeth or Dental Image Dataset/Upper Front/UF 0034.jpg,0,0.85
Teeth or Dental Image Dataset/Upper Front/UF 0035.jpg,0,0.85
Teeth or Dental Image Dataset/Upper Front/UF 0036.jpg,0,0.85
Teeth or Dental Image Dataset/Upper Front/UF 0037.jpg,1,0.85
Teeth or Dental Image Dataset/Upper Front/UF 0038.jpg,0,0.85
Teeth or Dental Image Dataset/Upper Front/UF 0039.jpg,0,0.85
Teeth or Dental Image Dataset/Upper Front/UF 0040.jpg,0,0.85
Teeth or Dental Image Dataset/Upper Front/UF 0041.jpg,0,0.85
Teeth or Dental Image Dataset/Upper Front/UF 0042.jpg,0,0.85
Teeth or Dental Image Dataset/Upper Front/UF 0043.jpg,0,0.85
Teeth or Dental Image Dataset/Upper Front/UF 0044.jpg,1,0.85
Teeth or Dental Image Dataset/Upper Front/UF 0045.jpg,0,0.85
Teeth or Dental Image Dataset/Upper Front/UF 0046.jpg,0,0.95
Teeth or Dental Image Dataset/Upper Front/UF 0047.jpg,0,0.85
Teeth or Dental Image Dataset/Upper Front/UF 0048.jpg,1,0.85
Teeth or Dental Image Dataset/Upper Front/UF 0049.jpg,0,0.85
Teeth or Dental Image Dataset/Upper Front/UF 0050.jpg,0,0.85
Teeth or Dental Image Dataset/Upper Front/UF 0051.jpg,0,0.85
Teeth or Dental Image Dataset/Upper Front/UF 0052.jpg,0,0.85
Teeth or Dental Image Dataset/Upper Front/UF 0053.jpg,1,0.85
Teeth or Dental Image Dataset/Upper Front/UF 0054.jpg,0,0.92
Teeth or Dental Image Dataset/Upper Front/UF 0055.jpg,0,0.85
Teeth or Dental Image Dataset/Upper Front/UF 0056.jpg,0,0.95
Teeth or Dental Image Dataset/Upper Front/UF 0057.jpg,0,0.95
Teeth or Dental Image Dataset/Upper Front/UF 0058.jpg,0,0.92
Teeth or Dental Image Dataset/Upper Front/UF 0059.jpg,0,0.85
Teeth or Dental Image Dataset/Upper Front/UF 0060.jpg,0,0.95
Teeth or Dental Image Dataset/Upper Front/UF 0061.jpg,0,0.85
Teeth or Dental Image Dataset/Upper Front/UF 0062.jpg,0,0.85
Teeth or Dental Image Dataset/Upper Front/UF 0063.jpg,0,0.85
Teeth or Dental Image Dataset/Upper Front/UF 0064.jpg,0,0.85
Teeth or Dental Image Dataset/Upper Front/UF 0065.jpg,0,0.95
Teeth or Dental Image Dataset/Upper Front/UF 0066.jpg,0,0.85
Teeth or Dental Image Dataset/Upper Front/UF 0067.jpg,0,0.85
Teeth or Dental Image Dataset/Upper Front/UF 0068.jpg,0,0.85
Teeth or Dental Image Dataset/Upper Front/UF 0069.jpg,0,0.85
Teeth or Dental Image Dataset/Upper Front/UF 0070.jpg,0,0.85
Teeth or Dental Image Dataset/Upper Front/UF 0071.jpg,0,0.85
Teeth or Dental Image Dataset/Upper Front/UF 0072.jpg,0,0.85
Teeth or Dental Image Dataset/Upper Front/UF 0073.jpg,0,0.85
Teeth or Dental Image Dataset/Upper Front/UF 0074.jpg,0,0.85
Teeth or Dental Image Dataset/Upper Front/UF 0075.jpg,1,0.85
Teeth or Dental Image Dataset/Upper Front/UF 0076.jpg,0,0.85
Teeth or Dental Image Dataset/Upper Front/UF 0077.jpg,0,0.85
Teeth or Dental Image Dataset/Upper Front/UF 0078.jpg,0,0.85
Teeth or Dental Image Dataset/Upper Front/UF 0079.jpg,0,0.85
Teeth or Dental Image Dataset/Upper Front/UF 0080.jpg,0,0.85
Teeth or Dental Image Dataset/Upper Front/UF 0081.jpg,0,0.85
Teeth or Dental Image Dataset/Upper Front/UF 0082.jpg,0,0.85
Teeth or Dental Image Dataset/Upper Front/UF 0083.jpg,0,0.85
Teeth or Dental Image Dataset/Upper Front/UF 0084.jpg,0,0.85
Teeth or Dental Image Dataset/Upper Front/UF 0085.jpg,0,0.85
Teeth or Dental Image Dataset/Upper Front/UF 0086.jpg,0,0.85
Teeth or Dental Image Dataset/Upper Front/UF 0087.jpg,0,0.85
Teeth or Dental Image Dataset/Upper Front/UF 0088.jpg,0,0.85
Teeth or Dental Image Dataset/Upper Front/UF 0089.jpg,0,0.85
Teeth or Dental Image Dataset/Upper Front/UF 0090.jpg,0,0.85
Teeth or Dental Image Dataset/Upper Front/UF 0091.jpg,0,0.85
Teeth or Dental Image Dataset/Upper Front/UF 0092.jpg,0,0.85
Teeth or Dental Image Dataset/Upper Front/UF 0093.jpg,0,0.85
Teeth or Dental Image Dataset/Upper Front/UF 0094.jpg,1,0.85
Teeth or Dental Image Dataset/Upper Front/UF 0095.jpg,1,0.85
Teeth or Dental Image Dataset/Upper Front/UF 0096.jpg,1,0.85
Teeth or Dental Image Dataset/Upper Front/UF 0097.jpg,0,0.85
Teeth or Dental Image Dataset/Upper Front/UF 0098.jpg,0,0.85
Teeth or Dental Image Dataset/Upper Front/UF 0099.jpg,0,0.85
Teeth or Dental Image Dataset/Upper Front/UF 0100.jpg,0,0.85
Teeth or Dental Image Dataset/Upper Front/UF 0101.jpg,0,0.85
Teeth or Dental Image Dataset/Upper Front/UF 0102.jpg,0,0.85
Teeth or Dental Image Dataset/Upper Front/UF 0103.jpg,0,0.85
Teeth or Dental Image Dataset/Upper Front/UF 0104.jpg,0,0.85
Teeth or Dental Image Dataset/Upper Front/UF 0105.jpg,0,0.92
Teeth or Dental Image Dataset/Upper Front/UF 0106.jpg,0,0.85
Teeth or Dental Image Dataset/Upper Front/UF 0107.jpg,1,0.85
Teeth or Dental Image Dataset/Upper Front/UF 0108.jpg,0,0.85
Teeth or Dental Image Dataset/Upper Front/UF 0109.jpg,0,0.85
Teeth or Dental Image Dataset/Upper Front/UF 0110.jpg,1,0.85
Teeth or Dental Image Dataset/Upper Front/UF 0111.jpg,0,0.85
Teeth or Dental Image Dataset/Upper Front/UF 0112.jpg,0,0.85
Teeth or Dental Image Dataset/Upper Front/UF 0113.jpg,0,0.85
Teeth or Dental Image Dataset/Upper Front/UF 0114.jpg,0,0.85
Teeth or Dental Image Dataset/Upper Front/UF 0115.jpg,0,0.92
Teeth or Dental Image Dataset/Upper Front/UF 0116.jpg,0,0.85
Teeth or Dental Image Dataset/Upper Front/UF 0117.jpg,0,0.92
Teeth or Dental Image Dataset/Upper Front/UF 0118.jpg,0,0.85
Teeth or Dental Image Dataset/Upper Front/UF 0119.jpg,0,0.85
Teeth or Dental Image Dataset/Upper Front/UF 0120.jpg,0,0.85
Teeth or Dental Image Dataset/Upper Front/UF 0121.jpg,0,0.85
Teeth or Dental Image Dataset/Upper Front/UF 0122.jpg,0,0.85
Teeth or Dental Image Dataset/Upper Front/UF 0123.jpg,0,0.92
Teeth or Dental Image Dataset/Upper Front/UF 0124.jpg,0,0.85
Teeth or Dental Image Dataset/Upper Front/UF 0125.jpg,0,0.92
Teeth or Dental Image Dataset/Upper Front/UF 0126.jpg,0,0.85
Teeth or Dental Image Dataset/Upper Front/UF 0127.jpg,1,0.75
